,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון סדרה י'- מליסרון בע""מ",3230190,TASE,אחר,323,"נדל""ן ובינוי",AA-,מעלות,31/03/15,7.05,שקל חדש,0.88,0.02,"10,374,731.70",97.35,"10,099.80",1.21,0.69,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פז נפט  ו- פז חברת הנפט בע""מ",1139542,TASE,אחר,1363,חיפושי נפט וגז,AA-,מעלות,01/12/16,5.77,שקל חדש,1.94,1.38,"1,722,439.00",103.28,"1,778.93",0.24,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ריט 1 אגח ג- ריט 1 בע""מ",1120021,TASE,אחר,1357,"נדל""ן ובינוי",AA-,מעלות,22/07/10,2.28,שקל חדש,3.90,0.01,"92,723.34",113.70,105.43,0.02,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ריט 1 אגח ד- ריט 1 בע""מ",1129899,TASE,אחר,1357,"נדל""ן ובינוי",AA-,מעלות,23/09/13,5.12,שקל חדש,4.00,0.01,"7,193,305.47",112.46,"8,089.59",1.15,0.55,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ריט 1 אגח ו- ריט 1 בע""מ",1138544,TASE,אחר,1357,"נדל""ן ובינוי",AA-,מעלות,19/06/16,8.78,שקל חדש,3.50,0.03,"8,377,423.00",109.04,"9,134.74",4.71,0.63,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ריט 1 סד ה- ריט 1 בע""מ",1136753,TASE,אחר,1357,"נדל""ן ובינוי",AA-,מעלות,03/11/15,7.45,שקל חדש,4.00,0.02,"19,055,938.98",114.52,"21,822.86",9.68,1.49,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ביג אגח ד- ביג מרכזי קניות (2004) בע""מ",1118033,TASE,אחר,1327,"נדל""ן ובינוי",A+,מעלות,24/02/10,2.50,שקל חדש,3.77,0.01,"5,049,362.43",116.66,"5,890.59",1.31,0.40,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ישרס אגח ו- ישרס חברה להשקעות בע""מ",6130124,TASE,אחר,613,"נדל""ן ובינוי",A1,מידרוג,20/06/11,0.08,שקל חדש,4.80,0.80,"873,879.59",105.95,925.88,1.09,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ישרס אגח טו- ישרס חברה להשקעות בע""מ",6130207,TASE,אחר,613,"נדל""ן ובינוי",A1,מידרוג,08/08/16,6.81,שקל חדש,1.58,1.78,"16,490,521.00",99.31,"16,376.74",3.67,1.12,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ישרס אגח יג- ישרס חברה להשקעות בע""מ",6130181,TASE,אחר,613,"נדל""ן ובינוי",A1,מידרוג,01/06/14,4.13,שקל חדש,3.48,1.47,"8,852,634.68",107.39,"9,506.84",1.54,0.65,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,נייר חדרה אגח 3- נייר חדרה לשעבר מפעלי נייר,6320071,TASE,אחר,632,"עץ, נייר ודפוס",A+,מעלות,17/07/08,0.75,שקל חדש,4.65,1.96,"844,915.22",118.80,"1,003.76",2.03,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סלע נדלן אגח א- סלע קפיטל נדל""ן בע""מ",1128586,TASE,אחר,1514,"נדל""ן ובינוי",A1,מידרוג,28/10/13,3.31,שקל חדש,2.75,1.17,"4,456,376.67",105.69,"4,709.94",2.10,0.32,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סלע נדלן אגח ב- סלע קפיטל נדל""ן בע""מ",1132927,TASE,אחר,1514,"נדל""ן ובינוי",A1,מידרוג,16/07/14,5.11,שקל חדש,2.74,1.51,"18,882,009.87",105.40,"19,901.64",3.79,1.36,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סלע נדלן ג- סלע קפיטל נדל""ן בע""מ",1138973,TASE,אחר,1514,"נדל""ן ובינוי",A1,מידרוג,21/08/16,7.04,שקל חדש,1.96,2.05,"11,326,809.00",99.86,"11,310.95",4.58,0.77,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
