,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מנורה מבטחים החזקות- מנורה מבטחים החזקות בע""מ",566018,TASE,אחר,566,ביטוח,שקל חדש,"429,876.00","4,057.00","17,440.07",0.68,0.89,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אגוד- בנק אגוד לישראל בע""מ",722314,TASE,אחר,722,בנקים,שקל חדש,"316,039.00","1,551.00","4,901.76",0.43,0.25,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,דקסיה ישראל- בנק דקסיה ישראל,711010,TASE,אחר,711,בנקים,שקל חדש,566.00,"98,260.00",556.15,0.08,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פיבי- פ.י.ב.י. אחזקות בע""מ",763011,TASE,אחר,763,בנקים,שקל חדש,"550,561.00","7,450.00","41,016.79",1.55,2.09,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלקו החזקות- אלקו בע""מ",694034,TASE,אחר,694,השקעות ואחזקות,שקל חדש,"451,647.00","6,956.00","31,416.57",1.31,1.60,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אקויטל- אקויטל בע""מ",755017,TASE,אחר,755,השקעות ואחזקות,שקל חדש,"225,910.00","8,393.00","18,960.63",1.33,0.97,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ביטוח ישיר- ביטוח ישיר - השקעות פיננסיות בע""מ",1083682,TASE,אחר,1089,השקעות ואחזקות,שקל חדש,"532,093.00","3,303.00","17,575.03",0.80,0.89,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"יואל- י.ו.א.ל. ירושלים אויל אקספלורשיין בע""מ",583013,TASE,אחר,583,השקעות ואחזקות,שקל חדש,"257,011.00","18,450.00","47,418.53",1.49,2.41,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מבטח שמיר- מבטח שמיר אחזקות בע""מ",127019,TASE,אחר,127,השקעות ואחזקות,שקל חדש,"130,893.00","7,990.00","10,458.35",1.24,0.53,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"צור- צור שמיר אחזקות בע""מ",730010,TASE,אחר,730,השקעות ואחזקות,שקל חדש,"911,422.00","1,232.00","11,228.72",0.94,0.57,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קנון- קנון,1134139,TASE,אחר,1635,השקעות ואחזקות,שקל חדש,"134,772.00","4,191.00","5,648.29",0.25,0.29,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"חנל יהש- חנ""ל - ים המלח שותפות מוגבלת",243014,TASE,אחר,243,חיפושי נפט וגז,שקל חדש,"126,553.00","2,986.00","3,778.87",0.40,0.19,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פלסאון תעשיות- פלסאון תעשיות בע""מ",1081603,TASE,אחר,1057,"כימיה, גומי ופלסטיק",שקל חדש,"4,464.00","11,290.00",503.99,0.05,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פלרם- פלרם (1990) תעשיות בע""מ",644013,TASE,אחר,644,"כימיה, גומי ופלסטיק",שקל חדש,"4,780.00","2,846.00",136.04,0.02,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נובה- נובה מכשירי מדידה בע""מ",1084557,TASE,אחר,2177,מוליכים למחצה,שקל חדש,"128,690.00","6,508.00","8,375.15",0.47,0.43,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נטו אחזקות- נטו מ.ע. אחזקות בע""מ",168013,TASE,אחר,168,מזון,שקל חדש,"77,297.00","34,020.00","26,296.44",2.09,1.34,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מזור רובוטיקה- מזור רובוטיקה ניתוחיות בע""מ",1106855,TASE,אחר,1487,מכשור רפואי,שקל חדש,"26,949.00","5,349.00","1,441.50",0.06,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דלק רכב- דלק מערכות רכב בע""מ",829010,TASE,אחר,829,מסחר,שקל חדש,"278,095.00","3,306.00","9,193.82",0.30,0.47,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סקופ- קבוצת סקופ מתכות בע""מ",288019,TASE,אחר,288,מסחר,שקל חדש,"161,074.00","9,578.00","15,427.67",1.48,0.79,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שופרסל- שופר-סל בע""מ",777037,TASE,אחר,777,מסחר,שקל חדש,"1,563,837.00","1,755.00","27,445.34",0.74,1.40,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"קליל- קליל תעשיות בע""מ",797035,TASE,אחר,797,מתכת ומוצרי בניה,שקל חדש,"3,873.00","39,070.00","1,513.18",0.16,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אפריקה נכסים- אפריקה ישראל נכסים בע""מ",1091354,TASE,אחר,1172,"נדל""ן ובינוי",שקל חדש,"53,085.00","7,315.00","3,883.17",0.19,0.20,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אשטרום נכסים- אשטרום נכסים בע""מ",251017,TASE,אחר,251,"נדל""ן ובינוי",שקל חדש,"1,430.00","1,467.00",20.98,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בראק קפיטל- בראק קפיטל פרופרטיז אן וי,1121607,TASE,אחר,1560,"נדל""ן ובינוי",שקל חדש,"6,393.00","34,000.00","2,173.62",0.09,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"וילאר- וילאר אינטרנשיונל בע""מ",416016,TASE,אחר,416,"נדל""ן ובינוי",שקל חדש,"330,486.00","9,000.00","29,743.74",1.86,1.51,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נכסים ובנין- חברה לנכסים ולבנין בע""מ",699017,TASE,אחר,699,"נדל""ן ובינוי",שקל חדש,"10,939.00","32,760.00","3,583.62",0.17,0.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
