,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דלק רכב- דלק מערכות רכב בע""מ",829010,TASE,אחר,829,מסחר,שקל חדש,"3,636.00","3,280.00",119.26,0.00,0.83,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שופרסל- שופר-סל בע""מ",777037,TASE,אחר,777,מסחר,שקל חדש,"17,756.00","1,444.00",256.40,0.01,1.78,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלוני חץ- אלוני-חץ נכסים והשקעות בע""מ",390013,TASE,אחר,390,"נדל""ן ובינוי",שקל חדש,"10,366.00","3,392.00",351.61,0.01,2.44,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אמות- אמות השקעות בע""מ",1097278,TASE,אחר,1328,"נדל""ן ובינוי",שקל חדש,60.00,"1,673.00",1.00,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אפריקה נכסים- אפריקה ישראל נכסים בע""מ",1091354,TASE,אחר,1172,"נדל""ן ובינוי",שקל חדש,730.00,"6,290.00",45.92,0.00,0.32,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אשטרום נכסים- אשטרום נכסים בע""מ",251017,TASE,אחר,251,"נדל""ן ובינוי",שקל חדש,400.00,"1,445.00",5.78,0.00,0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בראק קפיטל- בראק קפיטל פרופרטיז אן וי,1121607,TASE,אחר,1560,"נדל""ן ובינוי",שקל חדש,149.00,"33,960.00",50.60,0.00,0.35,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"וילאר- וילאר אינטרנשיונל בע""מ",416016,TASE,אחר,416,"נדל""ן ובינוי",שקל חדש,"1,007.00","8,451.00",85.10,0.00,0.59,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נכסים ובנין- חברה לנכסים ולבנין בע""מ",699017,TASE,אחר,699,"נדל""ן ובינוי",שקל חדש,12.00,"31,470.00",3.78,0.00,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ישרס- ישרס חברה להשקעות בע""מ",613034,TASE,אחר,613,"נדל""ן ובינוי",שקל חדש,194.00,"36,710.00",71.22,0.00,0.49,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,נורסטאר- נורסטאר החזקות אינק  לשעבר גזית אינק,723007,TASE,אחר,723,"נדל""ן ובינוי",שקל חדש,"4,265.00","7,079.00",301.92,0.02,2.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סאמיט- סאמיט אחזקות נדל""ן בע""מ",1081686,TASE,אחר,1060,"נדל""ן ובינוי",שקל חדש,"1,277.00","2,186.00",27.92,0.00,0.19,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"רבוע נדלן- רבוע כחול נדל""ן בע""מ",1098565,TASE,אחר,1349,"נדל""ן ובינוי",שקל חדש,21.00,"15,240.00",3.20,0.00,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
